City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,Brae,60.3964,-1.353,35.51,88,100,9.51,GB,2022-02-16 23:05:51
473,Acapulco,16.8634,-99.8901,84.02,74,0,12.66,MX,2022-02-16 23:05:51
474,Katobu,-4.9408,122.5276,75.99,92,18,0.87,ID,2022-02-16 23:05:52
475,Kencong,-8.2833,113.3667,74.95,88,93,2.46,ID,2022-02-16 23:05:52
476,Burnie,-41.0667,145.9167,65.95,60,57,12.82,AU,2022-02-16 23:05:53
477,Roebourne,-20.7833,117.1333,87.24,63,51,6.46,AU,2022-02-16 23:05:53
478,Linxia,35.6003,103.2064,19.92,88,85,3.62,CN,2022-02-16 23:05:53
479,Meulaboh,4.1363,96.1285,75.6,89,100,5.01,ID,2022-02-16 23:05:54
480,Tocopilla,-22.092,-70.1979,69.64,80,17,8.1,CL,2022-02-16 23:05:54
481,Praia Da Vitoria,38.7333,-27.0667,61.75,94,42,14.45,PT,2022-02-16 23:05:54
482,Matara,5.9485,80.5353,75.92,83,75,3.83,LK,2022-02-16 23:05:55
483,Boulder,40.0833,-105.3505,27.14,88,100,3.44,US,2022-02-16 23:05:00
484,Scottsbluff,41.8666,-103.6672,26.83,82,100,13.8,US,2022-02-16 23:01:08
485,Fort Nelson,58.8053,-122.7002,2.79,72,100,6.91,CA,2022-02-16 23:05:55
486,Springbok,-29.6643,17.8865,73.74,40,0,3.96,ZA,2022-02-16 23:05:55
487,Zlitan,32.4674,14.5687,54.55,64,19,16.58,LY,2022-02-16 23:05:56
488,Sehithwa,-20.4667,22.7167,71.42,40,1,5.79,BW,2022-02-16 23:05:56
489,Itoman,26.1247,127.6694,55.42,86,75,13.8,JP,2022-02-16 23:05:56
490,Barreirinhas,-2.7469,-42.8264,77.47,83,83,5.88,BR,2022-02-16 23:01:03
491,Abong Mbang,3.9833,13.1833,67.5,73,100,3.2,CM,2022-02-16 23:05:57
492,Orsha,54.5153,30.4053,32.68,95,100,20.78,BY,2022-02-16 23:05:57
493,Pareora,-44.4871,171.2132,65.17,73,49,11.25,NZ,2022-02-16 23:05:58
494,Pabrade,55.0,25.7833,39.63,96,100,18.72,LT,2022-02-16 23:05:58
495,Greece,43.2098,-77.6931,49.91,53,75,20.71,US,2022-02-16 23:04:57
496,Garissa,-0.4536,39.6401,77.5,71,10,12.59,KE,2022-02-16 23:05:58
497,Saraland,30.8207,-88.0706,69.06,70,95,11.63,US,2022-02-16 23:05:59
498,Semey,50.4111,80.2275,-7.31,94,12,6.53,KZ,2022-02-16 23:05:59
499,Urgut,39.4022,67.2431,26.22,67,6,3.09,UZ,2022-02-16 23:06:00
500,Kaili,-3.4626,120.2147,67.03,95,100,2.42,ID,2022-02-16 23:06:01
501,Chernyshkovskiy,48.4219,42.2308,36.52,96,100,8.16,RU,2022-02-16 23:06:01
502,Sarkand,45.41,79.9186,1.78,62,3,8.16,KZ,2022-02-16 23:06:01
503,Plettenberg Bay,-34.0527,23.3716,62.01,80,63,5.12,ZA,2022-02-16 23:06:02
504,Boueni,-12.9025,45.0761,80.58,76,31,4.38,YT,2022-02-16 23:06:02
505,Lumberton,34.6182,-79.0086,62.6,62,78,8.68,US,2022-02-16 23:06:02
506,Tambopata,-12.7333,-69.1833,74.71,91,92,1.1,PE,2022-02-16 23:06:03
507,Beberibe,-4.1797,-38.1306,82.44,80,51,8.43,BR,2022-02-16 23:06:03
508,Palembang,-2.9167,104.7458,75.29,94,40,8.05,ID,2022-02-16 23:06:03
509,Pundaguitan,6.3711,126.1689,79.34,78,67,8.01,PH,2022-02-16 23:07:04
510,Yatou,37.15,122.3833,22.23,55,47,16.02,CN,2022-02-16 23:07:04
511,Madison,34.7334,-86.5667,67.8,48,20,12.66,US,2022-02-16 23:07:05
512,Nioki,-2.7167,17.6833,72.36,93,100,1.97,CD,2022-02-16 23:07:06
513,Lewisporte,49.2499,-55.0482,7.56,75,38,6.85,CA,2022-02-16 23:07:06
514,Coro,11.4045,-69.6734,77.88,78,95,19.48,VE,2022-02-16 23:07:06
515,Sandata,46.2708,41.7583,34.56,86,75,6.31,RU,2022-02-16 23:07:07
516,Raudeberg,61.9875,5.1352,35.2,91,100,0.67,NO,2022-02-16 23:07:07
517,Labis,2.385,103.021,73.63,95,95,1.5,MY,2022-02-16 23:07:08
518,Port Hedland,-20.3167,118.5667,82.45,94,40,0.0,AU,2022-02-16 23:07:08
519,Belfast,54.5833,-5.9333,44.42,76,40,18.41,GB,2022-02-16 23:07:08
520,Atar,20.5169,-13.0499,66.2,17,4,11.12,MR,2022-02-16 23:07:09
521,Lopez,13.8844,122.2642,73.71,91,86,4.41,PH,2022-02-16 23:07:09
522,Tavrichanka,43.3378,131.8639,10.26,70,94,20.38,RU,2022-02-16 23:07:10
523,Panaba,21.2833,-88.2667,80.96,63,76,10.04,MX,2022-02-16 23:07:10
524,Chiredzi,-21.05,31.6667,75.79,60,66,5.26,ZW,2022-02-16 23:07:10
525,Requena,39.4883,-1.1004,52.18,75,92,7.18,ES,2022-02-16 23:07:11
526,Milos,36.75,24.4333,54.32,72,100,13.27,GR,2022-02-16 23:07:11
527,Katherine,-14.4667,132.2667,82.72,74,36,4.61,AU,2022-02-16 23:07:12
528,San Cristobal,7.7669,-72.225,72.75,56,78,0.45,VE,2022-02-16 23:07:12
529,Mafeteng,-29.823,27.2374,57.99,76,11,2.95,LS,2022-02-16 23:07:12
530,Padang,-0.9492,100.3543,78.64,70,100,4.32,ID,2022-02-16 23:07:13
531,Neuruppin,52.9282,12.8031,54.01,86,100,26.35,DE,2022-02-16 23:02:32
532,Jaque,7.5175,-78.1703,81.32,79,74,9.95,PA,2022-02-16 23:07:13
533,Kapoeta,4.7717,33.5903,83.59,25,11,5.75,SS,2022-02-16 23:07:13
534,Sungaipenuh,-2.0833,101.3833,62.58,89,100,1.9,ID,2022-02-16 23:07:14
535,Miyang,24.4042,103.4428,47.14,96,14,3.44,CN,2022-02-16 23:07:14
536,Tonstad,58.6626,6.7169,37.35,86,86,11.27,NO,2022-02-16 23:07:15
537,Hidalgo,20.5,-99.0,76.69,24,2,7.07,MX,2022-02-16 23:07:15
538,Muisne,0.6,-80.0333,77.27,84,98,8.75,EC,2022-02-16 23:07:15
539,La Ronge,55.1001,-105.2842,-7.29,85,97,6.87,CA,2022-02-16 23:07:16
540,Kieta,-6.2167,155.6333,83.08,77,99,7.09,PG,2022-02-16 23:07:16
541,Presidencia Roque Saenz Pena,-26.7852,-60.4388,92.75,28,20,4.03,AR,2022-02-16 23:07:16
542,Dalkola,25.85,87.85,58.91,64,0,5.88,IN,2022-02-16 23:07:17
543,Lakes Entrance,-37.8811,147.981,65.57,92,100,9.24,AU,2022-02-16 23:07:17
544,Derzhavinsk,51.1,66.3167,15.66,94,99,13.31,KZ,2022-02-16 23:07:17
545,Grojec,51.8625,20.8676,48.22,75,100,25.08,PL,2022-02-16 23:07:18
546,Porto Velho,-8.7619,-63.9039,77.05,94,20,2.3,BR,2022-02-16 23:07:18
547,Gobabis,-22.45,18.9667,70.68,34,0,10.09,NA,2022-02-16 23:07:19
548,Baiyin,36.5583,104.2081,24.89,72,26,3.49,CN,2022-02-16 23:07:19
549,Salinopolis,-0.6136,-47.3561,78.19,85,77,6.13,BR,2022-02-16 23:07:19
550,Ahipara,-35.1667,173.1667,69.26,61,98,1.68,NZ,2022-02-16 23:07:20
551,Pangoa,-12.1167,-73.0,71.64,96,93,1.99,PE,2022-02-16 23:07:20
552,Mucurici,-18.0933,-40.5158,73.27,92,100,8.16,BR,2022-02-16 23:02:33
553,Tamuin,21.9833,-98.75,81.93,46,0,7.7,MX,2022-02-16 23:07:21
554,Veraval,20.9,70.3667,68.92,50,0,10.8,IN,2022-02-16 23:07:21
555,Chiria,22.3,85.2667,57.13,56,17,0.85,IN,2022-02-16 23:07:21
556,Anan,33.9167,134.65,31.26,55,21,23.42,JP,2022-02-16 23:08:22
557,Lavrentiya,65.5833,-171.0,-11.16,93,13,8.39,RU,2022-02-16 23:08:22
558,Kenora,49.8167,-94.4337,3.78,71,100,11.99,CA,2022-02-16 23:08:22
559,Kachiry,53.0675,76.1036,8.49,95,93,9.37,KZ,2022-02-16 23:08:23
560,Port Lincoln,-34.7333,135.8667,66.36,62,99,8.72,AU,2022-02-16 23:08:23
561,Bay Roberts,47.5999,-53.2648,15.33,66,23,5.99,CA,2022-02-16 23:08:24
562,Esil,51.9556,66.4042,9.66,97,97,9.48,KZ,2022-02-16 23:08:24
563,Shubarshi,48.5872,57.1869,12.85,100,100,4.09,KZ,2022-02-16 23:08:24
564,Brokopondo,4.75,-55.1667,75.56,88,82,8.81,SR,2022-02-16 23:08:25
565,Lyubech,51.7026,30.6569,33.06,96,81,12.15,UA,2022-02-16 23:08:25
566,Borodino,55.9106,94.8983,0.27,90,100,5.48,RU,2022-02-16 23:08:25
567,Bouna,9.2667,-3.0,78.75,15,30,1.59,CI,2022-02-16 23:08:26
568,Husavik,66.0449,-17.3389,30.11,81,100,7.43,IS,2022-02-16 23:08:26
569,Senanga,-16.1167,23.2667,69.28,83,92,4.07,ZM,2022-02-16 23:08:26
570,San Jeronimo,-11.9472,-75.2829,56.16,75,100,4.61,PE,2022-02-16 23:08:27
571,Guarapari,-20.6667,-40.4975,76.89,91,98,5.17,BR,2022-02-16 23:08:27
572,Luau,-10.7073,22.2247,62.47,98,100,2.86,AO,2022-02-16 23:04:16
573,Inhambane,-23.865,35.3833,76.33,87,2,7.25,MZ,2022-02-16 23:08:28
574,Izhma,65.0083,53.9113,27.64,95,99,8.63,RU,2022-02-16 23:08:28
575,Talavera De La Reina,39.9635,-4.8308,45.16,87,47,1.39,ES,2022-02-16 23:03:59
576,Norsup,-16.0667,167.3833,84.24,72,98,4.41,VU,2022-02-16 23:08:29
577,Callaguip,18.0714,120.4867,73.51,74,65,6.08,PH,2022-02-16 23:08:29
578,Komsomolskiy,40.4272,71.7189,32.72,86,100,4.61,UZ,2022-02-16 23:08:30
579,Ilam,26.9167,87.9167,49.53,81,61,4.36,NP,2022-02-16 23:08:30
580,Nishihara,26.1842,127.7558,54.68,88,100,13.8,JP,2022-02-16 23:08:30
